id,name,description,category,url,homeImg,tags,submit,showPrice,price,salePrice,hot,star,traffic,like
1,There's An AI For ThatÂ®,30k+ AI Tools,agent,https://theresanaiforthat.com/,,,TRUE,TRUE,99,,,,6000000,
2,Toolify.ai,20k+ AI Tools,tool,https://www.toolify.ai/,,,TRUE,TRUE,99,,,,2100000,
3,Usbot,2k+ AI Tools,tool,https://www.usbot.net/,,,FALSE,FALSE,-1,,,,3400,
4,AI Tools Directory,300+ AI Tools,tool,https://aitoolsdirectory.com/,,,TRUE,FALSE,0,,,,220000,
5,Aixploria,5k+ AI Tools,tool,https://www.aixploria.com/,,,TRUE,TRUE,79,,,,975000,
6,AI Tool Directory,2k+ AI Tools,tool,https://tooldirectory.ai/,,,TRUE,FALSE,-1,,,,32000,
7,Insidr.ai,500+ AI Tools,tool,https://www.insidr.ai/ai-tools/,,,TRUE,FALSE,0,,,,100000,
8,Futurepedia,2k+ AI Tools,agent,https://www.futurepedia.io/,,,TRUE,TRUE,247,,,,530000,
10,AINave,20k+ AI Tools,agent,https://www.ainave.com/,,,TRUE,FALSE,-1,,,,3000,
11,AI Agent Store,200+,agent,https://aiagentstore.ai/,,,TRUE,TRUE,30,,,,87000,
12,AI Agents Live,50+,agent,https://aiagentslive.com/,,,TRUE,FALSE,0,,,,2300,
13,AiHubs,100+ AI Tools,tool,https://aihubs.ai/,,,TRUE,FALSE,0,,,,12000,
14,AIPEDIAHUB,600+ AI Tools,tool,https://aipediahub.com/,,,TRUE,FALSE,-1,,,,9000,
15,AI Respo,500+ AI Tools,tool,https://airespo.com/,,,TRUE,FALSE,0,,,,20000,
16,AI Scout,1800+ AI Tools,tool,https://aiscout.net/,,,TRUE,FALSE,-1,,,,35000,
17,AI Tools Arena,200+ AI Tools,tool,https://aitoolsarena.com/,,,FALSE,FALSE,-1,,,,40000,
18,ai-tools.directory,100+ AI Tools,tool,https://ai-tools.directory/,,,FALSE,FALSE,-1,,,,1000,
19,AI Tool Guru,4k+ AI Tools,tool,https://aitoolguru.com/,,,TRUE,FALSE,-1,,,,83000,
20,AI Tools Marketer,3k+ AI Tools,tool,https://aitoolsmarketer.com/,,,TRUE,FALSE,0,,,,1000,
21,AITopTools,10k+ AI Tools,tool,https://aitoptools.com/,,,TRUE,FALSE,-1,,,,150000,
22,AllThingsAI,100+,agent,https://allthingsai.com/,,,TRUE,FALSE,0,,,,120000,
23,AI Tools,3k+ AI Tools,tool,https://aitools.inc/,,,TRUE,FALSE,0,,,,64000,
24,AI Tool Trek,5k+ AI Tools,agent,https://aitooltrek.com/,,,TRUE,FALSE,0,,,,3000,
25,AI Tools Explorer,1k+ AI Tools,tool,https://alltheaitools.com/,,,TRUE,FALSE,-1,,,,1000,
26,aiex,300+ AI Tools,agent,https://aiex.me/,,,TRUE,FALSE,-1,,,,500,
27,AI TOOLS FOR ME,200+ AI Tools,agent,https://aitoolsforme.com/,,,TRUE,TRUE,29,,,,500,
28,ai journey,5k+ AI Tools,agent,https://aijourney.so/,,,TRUE,TRUE,29,,,,120000,
29,AI Parabellum,1K+,agent,https://aiparabellum.com/,,,TRUE,TRUE,49,,,,30000,
30,Ai Agents Base,1K+,agent,https://aiagentsbase.com/,,,TRUE,FALSE,0,,,,1000,
31,AI Agents List,1k+ AI Tools,agent,https://aiagentslist.com/,,,TRUE,FALSE,0,,,,80000,
32,AI Agents Directory,1k+ AI Tools,agent,https://aiagentsdirectory.com/,,,TRUE,FALSE,0,,,,280000,
33,BasedTools,400+ AI Tools,tool,https://www.basedtools.ai/,,,TRUE,FALSE,-1,,,,20000,
34,Beyond AI ,200+ AI Tools,tool,https://www.beyondaitools.com/,,,TRUE,TRUE,19,,,,12000,
35,Dynamite AI,100+ AI Tools,tool,https://www.dynamite-ai.com/,,,TRUE,FALSE,0,,,,500,
36,EliteAi.Tools,10k+ AI Tools,tool,https://eliteai.tools/,,,TRUE,TRUE,10,,,,140000,
37,Expify,2k+ AI Tools,tool,https://www.expify.ai/,,,TRUE,FALSE,0,,,,500,
38,findyouragent.ai,100+ AI Tools,agent,https://findyouragent.ai/,,,TRUE,FALSE,-1,,,,800,
39,findmyaitool,1500+ AI Tools,agent,https://findmyaitool.com/,,,TRUE,TRUE,80,,,,180000,
40,Foundr,7k+ AI Tools,agent,https://foundr.ai/,,,TRUE,FALSE,-1,,,,1500000,
41,Free AI Tool,200+ AI Tools,agent,https://freeaitool.ai/,,,TRUE,TRUE,10,,,,14000,
42,Future Tools,3k+ AI Tools,tool,https://www.futuretools.io/,,,TRUE,FALSE,0,,,,600000,
43,Grabon,3k+ AI Tools,tool,https://www.grabon.in/indulge/ai-tools/,,,FALSE,FALSE,-1,,,,3800000,
44,groupifyAI,5k+ AI Tools,agent,https://groupify.ai/,,,TRUE,TRUE,49,,,,1000,
45,havnai,100+ AI Tools,tool,https://havnai.com/,,,TRUE,FALSE,-1,,,,500,
46,OPENTOOLS,10k+ AI Tools,agent,https://opentools.ai/,,,TRUE,FALSE,-1,,,,600000,
47,Openfuture,30k+ AI Tools,agent,https://openfuture.ai/,,,TRUE,FALSE,-1,,,,240000,
48,PoweredbyAI,3k+ AI Tools,agent,https://poweredbyai.app/,,,TRUE,FALSE,-1,,,,60000,
49,Stackviv,10k+ AI Tools,tool,https://stackviv.ai/,,,TRUE,FALSE,0,,,,13000,
51,ShowMeBestAI,2k+ AI Tools,tool,https://showmebest.ai/,,,TRUE,FALSE,0,,,,500,
52,There's An AI,300+ AI Tools,agent,https://theresanai.com/,,,TRUE,FALSE,-1,,,,80000,
53,Top AI.tools,18k+ AI Tools,agent,https://topai.tools/,,,TRUE,TRUE,47,,,,2800000,
54,TOOLPILOT,2k+ AI Tools,agent,https://www.toolpilot.ai/,,,TRUE,FALSE,0,,,,240000,
55,THATSMY.AI,5k+ AI Tools,agent,https://thatsmy.ai/,,,TRUE,FALSE,0,,,,15000,
56,The Next AI Tool,1k+ AI Tools,agent,https://thenextaitool.com/,,,TRUE,FALSE,0,,,,2000,
57,Victrays,1K+,agent,https://victrays.com/,,,TRUE,FALSE,-1,,,,4000,
58,Best Free AI Websites,1k+ AI Tools,agent,https://bestfreeaiwebsites.com/,,,TRUE,TRUE,150,,,,240000,
59,BestofAI,13k+ AI Tools,agent,https://bestofai.com/,,,TRUE,FALSE,-1,,,,200000,
60,AI Tool Hunt,18k+ AI Tools,tool,https://www.aitoolhunt.com/,,,TRUE,TRUE,25,,,,340000,
61,Easy With AI,1K+,tool,https://easywithai.com/free-ai-tools/,,,TRUE,TRUE,125,,,,1300000,
62,AI Tools,1k+ AI Tools,tool,https://aitools.neilpatel.com/,,,TRUE,FALSE,0,,,,22000,
63,Dang.ai,1K+,tool,https://dang.ai/,,,TRUE,FALSE,0,,,,100000,
64,DoMore.ai,2k+ AI Tools,agent,https://domore.ai/,,,TRUE,TRUE,30,,,,100000,
65,Supertools,1K+,tool,https://supertools.therundown.ai/,,,TRUE,FALSE,0,,,,260000,
66,DokeyAI,3k+ AI Tools,tool,https://dokeyai.com/,,,TRUE,FALSE,0,,,,5000,
67,stork,9k+ AI Tools,tool,https://www.stork.ai/,,,TRUE,FALSE,-1,,,,70000,
68,AITOOLNET,18k+ AI Tools,tool,https://www.aitoolnet.com/,,,TRUE,TRUE,10,,,,80000,
69,Aitools.fyi ,1K+,agent,https://aitools.fyi/,,,TRUE,TRUE,30,,,,170000,
71,Toolnest,13k+ AI Tools,tool,https://toolnest.ai/,,,TRUE,TRUE,7,,,,1000,
72,FindMyAITool,1k+ AI Tools,tool,https://findmyaitool.com/,,,TRUE,TRUE,80,,,,170000,
74,AI With Me,1k+ AI Tools,tool,https://aiwith.me/,,,TRUE,TRUE,17,,,,10000,
75,The AI Library,100+,tool,https://www.theailibrary.co/,,,TRUE,FALSE,0,,,,7700,
76,AI Center,100+,agent,https://aicenter.ai/,,,TRUE,TRUE,5,,,,196000,
77,Powerusers AI,2k+ AI Tools,agent,https://powerusers.ai/,,,TRUE,TRUE,69,,,,729000,
78,AIPURE,1K+,agent,https://aipure.ai/,,,TRUE,TRUE,70,,,,635000,
79,AI Tool Details,4k+ AI Tools,agent,https://chatgptdemo.com/,,,TRUE,FALSE,0,,,,43600,
80,WhatTheAI,12k+ AI Tools,tool,https://whattheai.tech/,,,TRUE,FALSE,-1,,,,15800,
81,1000.tools,1k+ AI Tools,tool,https://1000.tools/,,,TRUE,TRUE,6,,,,15000,
82,Digital Samaritan,100+,tool,https://www.digitalsamaritan.co/,,,TRUE,TRUE,49,,,,19000,
83,Tip Season,2k+ AI Tools,tool,https://tipseason.com/,,,TRUE,FALSE,0,,,,30000,
84,AI Lib,3k+ AI Tools,tool,https://ailib.ru/,,,TRUE,FALSE,0,,,,112000,
85,AIMonstr,3k+ AI Tools,tool,https://www.aimonstr.com/,,,TRUE,FALSE,-1,,,,500,
86,AI Valley,1K+,tool,https://aivalley.ai/,,,TRUE,FALSE,0,,,,97000,
87,funfun.tools,2K+,tool,https://www.funfun.tools/,,,TRUE,FALSE,-1,,,,125000,
88,AI Heron,13k+ AI Tools,tool,https://www.aiheron.com/,,,TRUE,FALSE,0,,,,2200,
89,AI ToolBoard,800+ AI Tools,tool,https://aitoolboard.com/,,,TRUE,TRUE,75,,,,6400,
90,aidude,1k+ AI Tools,tool,https://aidude.info/,,,TRUE,TRUE,200,,,,340,
91,AIGO.tools,15k+ AI Tools,tool,https://aigo.tools/,,,TRUE,TRUE,12,,,,6400,
92,AI Search,2K+,tool,https://ai-search.io/,,,TRUE,TRUE,299,,,,60000,
93,AITRENDZ.xyz,3K+,tool,https://aitrendz.xyz/,,,TRUE,TRUE,15,,,,6300,
94,SEOFAI,4K+,tool,https://seofai.com/,,,TRUE,TRUE,29,,,,214000,
95,tools ai,1k+ AI Tools,tool,https://www.tools-ai.online/,,,TRUE,FALSE,0,,,,80000,
96,Aihunter,2k+ AI Tools,tool,https://ai-hunter.io/,,,TRUE,FALSE,0,,,,18000,
97,The AI Warehouse,1k+ AI Tools,agent,https://www.thewarehouse.ai/,,,TRUE,FALSE,0,,,,6100,
98,NEXTPEDIA,800+ AI Tools,tool,https://nextpedia.io/,,,FALSE,FALSE,-1,,,,481,
99,SaaSBaba,1k+ AI Tools,tool,https://saasbaba.com/,,,TRUE,FALSE,0,,,,4200,
100,AI Wiki Tools,2k+ AI Tools,tool,https://aiwikitools.com/,,,TRUE,FALSE,0,,,,3200,